Date : 2022-09-13 14:56:12
Directory : /Users/xusun/Desktop/Flutter/offershow/lib
Total : 106 files,  -4236 codes, -459 comments, -920 blanks, all -5615 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| ../linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/linux/include/url_launcher_linux                                                                |          1 |        -17 |         -4 |        -11 |        -32 |
| ../linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/linux/test                                                                                      |          1 |        -68 |         -5 |        -10 |        -83 |
| ../linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/test                                                                                            |          1 |       -125 |         -5 |        -15 |       -145 |
| ../macos                                                                                                                                                       |          6 |       -471 |         -4 |        -12 |       -487 |
| ../macos/Flutter                                                                                                                                               |          1 |        -16 |         -3 |         -4 |        -23 |
| ../macos/Runner                                                                                                                                                |          5 |       -455 |         -1 |         -8 |       -464 |
| ../macos/Runner/Assets.xcassets                                                                                                                                |          2 |        -78 |          0 |          0 |        -78 |
| ../macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                             |          1 |        -68 |          0 |          0 |        -68 |
| ../macos/Runner/Assets.xcassets/make_logo                                                                                                                      |          1 |        -10 |          0 |          0 |        -10 |
| ../macos/Runner/Base.lproj                                                                                                                                     |          1 |       -343 |          0 |         -1 |       -344 |
| ../web                                                                                                                                                         |          2 |       -115 |        -18 |         -8 |       -141 |
| ../windows                                                                                                                                                     |         11 |       -426 |        -80 |       -137 |       -643 |
| ../windows/flutter                                                                                                                                             |          3 |        -30 |         -9 |        -17 |        -56 |
| ../windows/runner                                                                                                                                              |          8 |       -396 |        -71 |       -120 |       -587 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                                       | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /Users/xusun/Desktop/Flutter/offershow/.workflow/BranchPipeline.yml                                                                                            | YAML         |        -42 |        -11 |         -1 |        -54 |
| /Users/xusun/Desktop/Flutter/offershow/.workflow/MasterPipeline.yml                                                                                            | YAML         |        -40 |        -11 |         -1 |        -52 |
| /Users/xusun/Desktop/Flutter/offershow/.workflow/PRPipeline.yml                                                                                                | YAML         |        -31 |         -9 |         -1 |        -41 |
| /Users/xusun/Desktop/Flutter/offershow/API.md                                                                                                                  | Markdown     |       -497 |          0 |       -113 |       -610 |
| /Users/xusun/Desktop/Flutter/offershow/README.md                                                                                                               | Markdown     |        -99 |          0 |        -19 |       -118 |
| /Users/xusun/Desktop/Flutter/offershow/analysis_options.yaml                                                                                                   | YAML         |         -3 |        -23 |         -4 |        -30 |
| /Users/xusun/Desktop/Flutter/offershow/android/app/build.gradle                                                                                                | Groovy       |        -62 |         -3 |        -15 |        -80 |
| /Users/xusun/Desktop/Flutter/offershow/android/app/src/debug/AndroidManifest.xml                                                                               | XML          |         -5 |         -4 |         -1 |        -10 |
| /Users/xusun/Desktop/Flutter/offershow/android/app/src/main/AndroidManifest.xml                                                                                | XML          |        -35 |         -6 |         -1 |        -42 |
| /Users/xusun/Desktop/Flutter/offershow/android/app/src/main/kotlin/com/example/river_lite_2022/MainActivity.kt                                                 | Kotlin       |         -6 |        -15 |         -4 |        -25 |
| /Users/xusun/Desktop/Flutter/offershow/android/app/src/main/res/drawable-v21/launch_background.xml                                                             | XML          |         -4 |         -7 |         -2 |        -13 |
| /Users/xusun/Desktop/Flutter/offershow/android/app/src/main/res/drawable/launch_background.xml                                                                 | XML          |         -4 |         -7 |         -2 |        -13 |
| /Users/xusun/Desktop/Flutter/offershow/android/app/src/main/res/values-night/styles.xml                                                                        | XML          |        -11 |         -9 |          0 |        -20 |
| /Users/xusun/Desktop/Flutter/offershow/android/app/src/main/res/values/styles.xml                                                                              | XML          |        -11 |          0 |          0 |        -11 |
| /Users/xusun/Desktop/Flutter/offershow/android/app/src/profile/AndroidManifest.xml                                                                             | XML          |         -8 |         -4 |         -1 |        -13 |
| /Users/xusun/Desktop/Flutter/offershow/android/build.gradle                                                                                                    | Groovy       |        -29 |         -6 |         -5 |        -40 |
| /Users/xusun/Desktop/Flutter/offershow/android/gradle.properties                                                                                               | Properties   |         -3 |          0 |         -1 |         -4 |
| /Users/xusun/Desktop/Flutter/offershow/android/gradle/wrapper/gradle-wrapper.properties                                                                        | Properties   |         -5 |         -1 |         -1 |         -7 |
| /Users/xusun/Desktop/Flutter/offershow/android/settings.gradle                                                                                                 | Groovy       |         -8 |          0 |         -4 |        -12 |
| /Users/xusun/Desktop/Flutter/offershow/develop.md                                                                                                              | Markdown     |       -238 |          0 |        -24 |       -262 |
| /Users/xusun/Desktop/Flutter/offershow/ios/Runner/AppDelegate.swift                                                                                            | Swift        |        -19 |         -1 |         -2 |        -22 |
| /Users/xusun/Desktop/Flutter/offershow/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                                                             | JSON         |       -122 |          0 |          0 |       -122 |
| /Users/xusun/Desktop/Flutter/offershow/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                                                           | JSON         |        -23 |          0 |         -1 |        -24 |
| /Users/xusun/Desktop/Flutter/offershow/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                                                               | Markdown     |         -3 |          0 |         -2 |         -5 |
| /Users/xusun/Desktop/Flutter/offershow/ios/Runner/Base.lproj/LaunchScreen.storyboard                                                                           | XML          |        -36 |         -1 |         -1 |        -38 |
| /Users/xusun/Desktop/Flutter/offershow/ios/Runner/Base.lproj/Main.storyboard                                                                                   | XML          |        -25 |         -1 |         -1 |        -27 |
| /Users/xusun/Desktop/Flutter/offershow/ios/Runner/Runner-Bridging-Header.h                                                                                     | C++          |         -1 |          0 |         -1 |         -2 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/CHANGELOG.md                                               | Markdown     |        -42 |          0 |        -32 |        -74 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/README.md                                                  | Markdown     |         -7 |          0 |         -5 |        -12 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/README.md                                          | Markdown     |        -10 |          0 |         -7 |        -17 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/integration_test/path_provider_test.dart           | Dart         |        -46 |         -5 |        -10 |        -61 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/lib/main.dart                                      | Dart         |        -82 |        -10 |        -12 |       -104 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/flutter/generated_plugins.cmake              | CMake        |        -12 |          0 |         -4 |        -16 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/main.cc                                      | C++          |         -6 |         -6 |         -4 |        -16 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/my_application.cc                            | C++          |        -32 |         -4 |        -14 |        -50 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/my_application.h                             | C++          |         -7 |        -10 |         -6 |        -23 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/pubspec.yaml                                       | YAML         |        -20 |         -5 |         -6 |        -31 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/test_driver/integration_test.dart                  | Dart         |         -2 |         -3 |         -3 |         -8 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/path_provider_linux.dart                               | Dart         |         -1 |         -3 |         -2 |         -6 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/get_application_id.dart                            | Dart         |         -2 |         -6 |         -2 |        -10 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/get_application_id_real.dart                       | Dart         |        -55 |        -12 |        -12 |        -79 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/get_application_id_stub.dart                       | Dart         |         -1 |         -4 |         -2 |         -7 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/path_provider_linux.dart                           | Dart         |        -62 |        -15 |        -16 |        -93 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/pubspec.yaml                                               | YAML         |        -24 |          0 |         -5 |        -29 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/test/get_application_id_test.dart                          | Dart         |        -47 |         -3 |        -13 |        -63 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/test/path_provider_linux_test.dart                         | Dart         |        -51 |         -4 |        -10 |        -65 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/share_plus_linux/CHANGELOG.md                                                  | Markdown     |        -16 |          0 |        -16 |        -32 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/share_plus_linux/README.md                                                     | Markdown     |         -7 |          0 |         -6 |        -13 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/share_plus_linux/lib/share_plus_linux.dart                                     | Dart         |        -38 |         -7 |         -8 |        -53 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/share_plus_linux/pubspec.yaml                                                  | YAML         |        -27 |          0 |         -4 |        -31 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/share_plus_linux/test/share_plus_linux_test.dart                               | Dart         |        -56 |         -1 |        -13 |        -70 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/CHANGELOG.md                                          | Markdown     |        -35 |          0 |        -27 |        -62 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/README.md                                             | Markdown     |         -7 |          0 |         -5 |        -12 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/README.md                                     | Markdown     |         -5 |          0 |         -4 |         -9 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/integration_test/shared_preferences_test.dart | Dart         |        -86 |         -3 |        -13 |       -102 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/lib/main.dart                                 | Dart         |        -72 |         -4 |        -14 |        -90 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/linux/flutter/generated_plugins.cmake         | CMake        |        -12 |          0 |         -4 |        -16 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/linux/main.cc                                 | C++          |         -5 |         -3 |         -3 |        -11 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/linux/my_application.cc                       | C++          |        -31 |         -4 |        -14 |        -49 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/linux/my_application.h                        | C++          |         -7 |        -10 |         -6 |        -23 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/pubspec.yaml                                  | YAML         |        -19 |         -5 |         -5 |        -29 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/test_driver/integration_test.dart             | Dart         |         -2 |         -3 |         -3 |         -8 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/lib/shared_preferences_linux.dart                     | Dart         |        -85 |        -17 |        -16 |       -118 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/pubspec.yaml                                          | YAML         |        -25 |          0 |         -5 |        -30 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/test/shared_preferences_linux_test.dart               | Dart         |        -79 |         -8 |        -24 |       -111 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/CHANGELOG.md                                                | Markdown     |        -37 |          0 |        -26 |        -63 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/README.md                                                   | Markdown     |         -7 |          0 |         -5 |        -12 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/README.md                                           | Markdown     |         -5 |          0 |         -4 |         -9 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/integration_test/url_launcher_test.dart             | Dart         |        -11 |         -4 |         -6 |        -21 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/lib/main.dart                                       | Dart         |        -80 |         -4 |        -12 |        -96 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/linux/flutter/generated_plugins.cmake               | CMake        |        -13 |          0 |         -4 |        -17 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/linux/main.cc                                       | C++          |         -5 |         -3 |         -3 |        -11 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/linux/my_application.cc                             | C++          |        -31 |         -4 |        -14 |        -49 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/linux/my_application.h                              | C++          |         -7 |        -10 |         -6 |        -23 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/pubspec.yaml                                        | YAML         |        -19 |         -5 |         -5 |        -29 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/test_driver/integration_test.dart                   | Dart         |         -2 |         -3 |         -3 |         -8 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/lib/url_launcher_linux.dart                                 | Dart         |        -42 |         -5 |         -8 |        -55 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/linux/include/url_launcher_linux/url_launcher_plugin.h      | C++          |        -17 |         -4 |        -11 |        -32 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/linux/test/url_launcher_linux_test.cc                       | C++          |        -68 |         -5 |        -10 |        -83 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/linux/url_launcher_plugin.cc                                | C++          |       -123 |        -10 |        -34 |       -167 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/linux/url_launcher_plugin_private.h                         | C++          |         -3 |         -7 |         -5 |        -15 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/pubspec.yaml                                                | YAML         |        -23 |          0 |         -5 |        -28 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/test/url_launcher_linux_test.dart                           | Dart         |       -125 |         -5 |        -15 |       -145 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/generated_plugin_registrant.cc                                                                            | C++          |         -7 |         -4 |         -5 |        -16 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/generated_plugin_registrant.h                                                                             | C++          |         -5 |         -5 |         -6 |        -16 |
| /Users/xusun/Desktop/Flutter/offershow/linux/flutter/generated_plugins.cmake                                                                                   | CMake        |        -19 |          0 |         -6 |        -25 |
| /Users/xusun/Desktop/Flutter/offershow/macos/Flutter/GeneratedPluginRegistrant.swift                                                                           | Swift        |        -16 |         -3 |         -4 |        -23 |
| /Users/xusun/Desktop/Flutter/offershow/macos/Runner/AppDelegate.swift                                                                                          | Swift        |        -20 |          0 |         -2 |        -22 |
| /Users/xusun/Desktop/Flutter/offershow/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                                                           | JSON         |        -68 |          0 |          0 |        -68 |
| /Users/xusun/Desktop/Flutter/offershow/macos/Runner/Assets.xcassets/make_logo/command.sh                                                                       | Shell Script |        -10 |          0 |          0 |        -10 |
| /Users/xusun/Desktop/Flutter/offershow/macos/Runner/Base.lproj/MainMenu.xib                                                                                    | XML          |       -343 |          0 |         -1 |       -344 |
| /Users/xusun/Desktop/Flutter/offershow/macos/Runner/MainFlutterWindow.swift                                                                                    | Swift        |        -14 |         -1 |         -5 |        -20 |
| /Users/xusun/Desktop/Flutter/offershow/pubspec.yaml                                                                                                            | YAML         |        -82 |         -5 |         -7 |        -94 |
| /Users/xusun/Desktop/Flutter/offershow/web/index.html                                                                                                          | HTML         |        -80 |        -18 |         -7 |       -105 |
| /Users/xusun/Desktop/Flutter/offershow/web/manifest.json                                                                                                       | JSON         |        -35 |          0 |         -1 |        -36 |
| /Users/xusun/Desktop/Flutter/offershow/windows/flutter/generated_plugin_registrant.cc                                                                          | C++          |         -6 |         -4 |         -5 |        -15 |
| /Users/xusun/Desktop/Flutter/offershow/windows/flutter/generated_plugin_registrant.h                                                                           | C++          |         -5 |         -5 |         -6 |        -16 |
| /Users/xusun/Desktop/Flutter/offershow/windows/flutter/generated_plugins.cmake                                                                                 | CMake        |        -19 |          0 |         -6 |        -25 |
| /Users/xusun/Desktop/Flutter/offershow/windows/runner/flutter_window.cpp                                                                                       | C++          |        -45 |         -4 |        -13 |        -62 |
| /Users/xusun/Desktop/Flutter/offershow/windows/runner/flutter_window.h                                                                                         | C++          |        -20 |         -5 |         -9 |        -34 |
