Date : 2022-09-25 19:44:46
Directory : /Users/xusun/Desktop/Flutter/offershow/lib
Total : 264 files,  34022 codes, 877 comments, 2043 blanks, all 36942 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| page/collection_tab                                                                                                     |          1 |        371 |          1 |         15 |        387 |
| page/column                                                                                                             |          1 |        621 |          1 |         24 |        646 |
| page/crop                                                                                                               |          1 |        329 |          1 |         15 |        345 |
| page/essence                                                                                                            |          1 |        178 |          0 |         11 |        189 |
| page/explore                                                                                                            |          1 |        153 |          0 |         14 |        167 |
| page/home                                                                                                               |          2 |        503 |          2 |         40 |        545 |
| page/hot                                                                                                                |         12 |        272 |          1 |         29 |        302 |
| page/hot/img                                                                                                            |         10 |         41 |          0 |         10 |         51 |
| page/login                                                                                                              |          2 |        700 |          1 |         37 |        738 |
| page/me                                                                                                                 |          1 |        584 |          2 |         30 |        616 |
| page/me_func                                                                                                            |          1 |        479 |          5 |         23 |        507 |
| page/msg                                                                                                                |          1 |        385 |          0 |         15 |        400 |
| page/msg_detail                                                                                                         |          1 |      1,130 |         12 |         43 |      1,185 |
| page/msg_three                                                                                                          |          4 |        604 |          2 |         24 |        630 |
| page/new                                                                                                                |          7 |      1,660 |         18 |         59 |      1,737 |
| page/new_reply                                                                                                          |          1 |        175 |          1 |         11 |        187 |
| page/person_detail                                                                                                      |          1 |        202 |          1 |         12 |        215 |
| page/personal                                                                                                           |          1 |      1,238 |         39 |         51 |      1,328 |
| page/photo_view                                                                                                         |          1 |        342 |          4 |         10 |        356 |
| page/question                                                                                                           |          2 |      1,037 |          6 |         20 |      1,063 |
| page/scan_qrcode                                                                                                        |          1 |        124 |          0 |         12 |        136 |
| page/search                                                                                                             |          1 |        973 |          3 |         35 |      1,011 |
| page/setting                                                                                                            |          1 |        294 |         18 |         10 |        322 |
| page/square                                                                                                             |          2 |        522 |          0 |         35 |        557 |
| page/start                                                                                                              |          1 |         99 |          1 |         12 |        112 |
| page/test                                                                                                               |          1 |         47 |          0 |          7 |         54 |
| page/topic                                                                                                              |         17 |      5,739 |         60 |        207 |      6,006 |
| page/user_list                                                                                                          |          1 |        244 |          0 |         12 |        256 |
| page/waterTask                                                                                                          |          3 |      1,218 |         17 |         48 |      1,283 |
| page/water_total                                                                                                        |          1 |        152 |          2 |          8 |        162 |
| router                                                                                                                  |          1 |         82 |          0 |          2 |         84 |
| util                                                                                                                    |          5 |        771 |         44 |         72 |        887 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/bigScreen.dart                                                         | Dart     |         11 |          0 |          4 |         15 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/black.dart                                                             | Dart     |         23 |          2 |          4 |         29 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/color.dart                                                             | Dart     |         58 |          4 |          7 |         69 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/cookie.dart                                                            | Dart     |         23 |          1 |          3 |         27 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/data.dart                                                              | Dart     |        125 |          2 |          6 |        133 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/genarate_token.dart                                                    | Dart     |         12 |          1 |          3 |         16 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/home_desktop_mode.dart                                                 | Dart     |         36 |          2 |          6 |         44 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/logo.dart                                                              | Dart     |         20 |          0 |          3 |         23 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/modal.dart                                                             | Dart     |        367 |          2 |         10 |        379 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/mouse_speed.dart                                                       | Dart     |         22 |          1 |          3 |         26 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/myinfo.dart                                                            | Dart     |          7 |          0 |          3 |         10 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/nowMode.dart                                                           | Dart     |         18 |          1 |          3 |         22 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/saveImg.dart                                                           | Dart     |         83 |          0 |          3 |         86 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/showActionSheet.dart                                                   | Dart     |          0 |          0 |          2 |          2 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/size.dart                                                              | Dart     |          6 |          0 |          2 |          8 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/svg.dart                                                               | Dart     |         35 |          0 |          3 |         38 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/time.dart                                                              | Dart     |         65 |          0 |          9 |         74 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/toWebUrl.dart                                                          | Dart     |         12 |          1 |          3 |         16 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/to_user.dart                                                           | Dart     |          9 |          0 |          2 |         11 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/topic_formhash.dart                                                    | Dart     |         13 |          0 |          2 |         15 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/uploadAttachment.dart                                                  | Dart     |        190 |          7 |          9 |        206 |
| /Users/xusun/Desktop/Flutter/offershow/lib/asset/vibrate.dart                                                           | Dart     |          4 |          0 |          2 |          6 |
| /Users/xusun/Desktop/Flutter/offershow/lib/collect_btn/0-all.svg                                                        | XML      |          5 |          0 |          1 |          6 |
| /Users/xusun/Desktop/Flutter/offershow/lib/collect_btn/1-loss.svg                                                       | XML      |         13 |          0 |          1 |         14 |
| /Users/xusun/Desktop/Flutter/offershow/lib/collect_btn/2-second.svg                                                     | XML      |          6 |          0 |          1 |          7 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/BottomTip.dart                                                    | Dart     |         33 |          0 |          4 |         37 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/banner.dart                                                       | Dart     |         41 |          0 |          4 |         45 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/bilibili_player.dart                                              | Dart     |         62 |          1 |          7 |         70 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/collection.dart                                                   | Dart     |        269 |         11 |          5 |        285 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/empty.dart                                                        | Dart     |         43 |          0 |          4 |         47 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/full_screen_player.dart                                           | Dart     |         54 |          0 |          4 |         58 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/home_btn.dart                                                     | Dart     |        118 |          1 |         10 |        129 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/hot_btn.dart                                                      | Dart     |        171 |          0 |          7 |        178 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/leftNavi.dart                                                     | Dart     |        320 |          2 |         16 |        338 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/loading.dart                                                      | Dart     |        126 |          7 |          4 |        137 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/maxwidth.dart                                                     | Dart     |         27 |          0 |          4 |         31 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/newNaviBar.dart                                                   | Dart     |        131 |          0 |          5 |        136 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/niw.dart                                                          | Dart     |         72 |          0 |          4 |         76 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/nomore.dart                                                       | Dart     |         15 |          0 |          4 |         19 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/occu_loading.dart                                                 | Dart     |         50 |          0 |          4 |         54 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/tabbar.dart                                                       | Dart     |         12 |          0 |          4 |         16 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/titleBar.dart                                                     | Dart     |         11 |          0 |          3 |         14 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/topic.dart                                                        | Dart     |        686 |          9 |         19 |        714 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/topic_reply.dart                                                  | Dart     |        506 |        100 |         16 |        622 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/totop.dart                                                        | Dart     |        189 |          1 |          6 |        196 |
| /Users/xusun/Desktop/Flutter/offershow/lib/components/video_player.dart                                                 | Dart     |        307 |          2 |         15 |        324 |
| /Users/xusun/Desktop/Flutter/offershow/lib/config/config.dart                                                           | Dart     |         10 |          0 |          1 |         11 |
| /Users/xusun/Desktop/Flutter/offershow/lib/database/collect_salary.dart                                                 | Dart     |         46 |          7 |          7 |         60 |
| /Users/xusun/Desktop/Flutter/offershow/lib/emoji/emoji.dart                                                             | Dart     |          2 |          0 |          1 |          3 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/anoy.svg                                                                 | XML      |         10 |          0 |          1 |         11 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/banner.svg                                                               | XML      |         61 |          0 |          1 |         62 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/banner/banner1.svg                                                       | XML      |         61 |          0 |          1 |         62 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/banner/banner2.svg                                                       | XML      |         90 |          0 |          1 |         91 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/comment.svg                                                              | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/detail_comment_more.svg                                                  | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/detail_like.svg                                                          | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/detail_like_blue.svg                                                     | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/detail_sort.svg                                                          | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/essence.svg                                                              | XML      |          7 |          0 |          1 |          8 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/explore/bottom1.svg                                                      | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/explore/bottom2.svg                                                      | XML      |          6 |          0 |          1 |          7 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/explore/bottom3.svg                                                      | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/explore/bottom4.svg                                                      | XML      |          6 |          0 |          1 |          7 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/explore/bottom5.svg                                                      | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/explore/explore.dart                                                     | Dart     |          0 |          0 |          2 |          2 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/explore/explore.svg                                                      | XML      |         12 |          0 |          1 |         13 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/home.svg                                                                 | XML      |         61 |          0 |          1 |         62 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/home/1.svg                                                               | XML      |         10 |          0 |          1 |         11 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/home/10.svg                                                              | XML      |          6 |          0 |          1 |          7 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/home/2.svg                                                               | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/home/3.svg                                                               | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/home/4.svg                                                               | XML      |         10 |          0 |          1 |         11 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/home/5.svg                                                               | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/home/6.svg                                                               | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/home/7.svg                                                               | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/home/8.svg                                                               | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/home/9.svg                                                               | XML      |         11 |          0 |          1 |         12 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/like_blue.svg                                                            | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/like_grey.svg                                                            | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/loading.svg                                                              | XML      |          5 |          0 |          0 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/login.svg                                                                | XML      |        120 |          0 |          1 |        121 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/logo.svg                                                                 | XML      |         24 |          0 |          0 |         24 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn1.svg                                                              | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn2.svg                                                              | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn3.svg                                                              | XML      |          5 |          0 |          1 |          6 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn4.svg                                                              | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn5.svg                                                              | XML      |          5 |          0 |          1 |          6 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/me_arrow_right.svg                                                       | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn1.svg                                                         | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn2.svg                                                         | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn3.svg                                                         | XML      |          5 |          0 |          1 |          6 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn4.svg                                                         | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn5.svg                                                         | XML      |          5 |          0 |          1 |          6 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/more.svg                                                                 | XML      |          6 |          0 |          1 |          7 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/msg/@.svg                                                                | XML      |         24 |          0 |          1 |         25 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/msg/noti.svg                                                             | XML      |         13 |          0 |          1 |         14 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/msg/reply.svg                                                            | XML      |         22 |          0 |          1 |         23 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/msg_card_right.svg                                                       | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/msg_send.svg                                                             | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/person/1.svg                                                             | XML      |         83 |          0 |          0 |         83 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/person/2.svg                                                             | XML      |        165 |          0 |          0 |        165 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/qrcode_dark.svg                                                          | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/qrcode_light.svg                                                         | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/quote.svg                                                                | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/quote_dark.svg                                                           | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/right_arrow.svg                                                          | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/right_arrow_grey.svg                                                     | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/search.svg                                                               | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/search_blue.svg                                                          | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/search_filter.svg                                                        | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/search_grey.svg                                                          | XML      |          6 |          0 |          0 |          6 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/search_white.svg                                                         | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/setting/1-se.svg                                                         | XML      |         14 |          0 |          1 |         15 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/setting/1.svg                                                            | XML      |         14 |          0 |          1 |         15 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/setting/2-se.svg                                                         | XML      |         10 |          0 |          1 |         11 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/setting/2.svg                                                            | XML      |         10 |          0 |          1 |         11 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/square/1.svg                                                             | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/square/2.svg                                                             | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/square/3.svg                                                             | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/square/4.svg                                                             | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/square/5.svg                                                             | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/square/6.svg                                                             | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/square/column/1.svg                                                      | XML      |          8 |          0 |          1 |          9 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/square/column/2.svg                                                      | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/start.svg                                                                | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/start_pic.svg                                                            | XML      |         70 |          0 |          1 |         71 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/to_top.svg                                                               | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_@.svg                                                              | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_@_black.svg                                                        | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_attach.svg                                                         | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_attach_black.svg                                                   | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_attach_light.svg                                                   | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_collect.svg                                                        | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_collect_blue.svg                                                   | XML      |         10 |          0 |          1 |         11 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_component_comment.svg                                              | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_component_like.svg                                                 | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_component_view.svg                                                 | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_dark_func/topic_@.svg                                              | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_dark_func/topic_emoji.svg                                          | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_dark_func/topic_picture.svg                                        | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_detail_more.svg                                                    | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_emoji.svg                                                          | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_emoji_black.svg                                                    | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_line_image.svg                                                     | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_picture.svg                                                        | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/topic_water.svg                                                          | XML      |          3 |          0 |          1 |          4 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/vote.svg                                                                 | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/water.svg                                                                | XML      |          4 |          0 |          1 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/water_total/1.svg                                                        | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/water_total/2.svg                                                        | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/img/water_total/3.svg                                                        | XML      |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/lottie/book.json                                                             | JSON     |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/lottie/loading.json                                                          | JSON     |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/main_desktop.dart                                                            | Dart     |          4 |          1 |          2 |          7 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/cached_network_image/cached_image_widget.dart                          | Dart     |        169 |        108 |         45 |        322 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/cached_network_image/image_provider/_image_loader.dart                 | Dart     |         67 |          4 |          7 |         78 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/cached_network_image/image_provider/cached_network_image_provider.dart | Dart     |         93 |         16 |         21 |        130 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/cached_network_image/image_provider/multi_image_stream_completer.dart  | Dart     |        142 |         15 |         18 |        175 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/card_swiper/custom_layout.dart                                         | Dart     |        387 |          1 |         61 |        449 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/card_swiper/flutter_page_indicator/flutter_page_indicator.dart         | Dart     |        274 |         17 |         58 |        349 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/card_swiper/swiper.dart                                                | Dart     |        846 |         42 |        116 |      1,004 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/card_swiper/swiper_control.dart                                        | Dart     |        113 |          6 |         15 |        134 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/card_swiper/swiper_controller.dart                                     | Dart     |         40 |          0 |          8 |         48 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/card_swiper/swiper_pagination.dart                                     | Dart     |        236 |         20 |         49 |        305 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/card_swiper/swiper_plugin.dart                                         | Dart     |         45 |          2 |          8 |         55 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/card_swiper/transformer_page_view/index_controller.dart                | Dart     |        104 |          0 |         16 |        120 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/card_swiper/transformer_page_view/parallax.dart                        | Dart     |        131 |          0 |         21 |        152 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/card_swiper/transformer_page_view/transformer_page_view.dart           | Dart     |        446 |         68 |         82 |        596 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/contained_tab_bar_view/contained_tab_bar_view.dart                     | Dart     |          5 |          0 |          2 |          7 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/contained_tab_bar_view/src/contained_tab_bar_view.dart                 | Dart     |        205 |         28 |         30 |        263 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/contained_tab_bar_view/src/enums.dart                                  | Dart     |          2 |          3 |          2 |          7 |
| /Users/xusun/Desktop/Flutter/offershow/lib/outer/contained_tab_bar_view/src/tab_bar_properties.dart                     | Dart     |         42 |         49 |         20 |        111 |
